index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
0,101 Dalmatians,18-11-1996,1996,5.7,103,"Adventure, Comedy, Crime, Family",Stephen Herek
1,102 Dalmatians,22-11-2000,2000,4.9,100,"Adventure, Comedy, Family",Kevin Lima
2,12 Rounds,19-03-2009,2009,5.6,108,"Action, Crime, Thriller",Renny Harlin
3,12 Rounds 2: Reloaded,04-06-2013,2013,5.3,95,"Action, Adventure, Thriller",Roel Reiné
4,21 Jump Street,12-03-2012,2012,7.2,109,"Action, Comedy, Crime","Christopher Miller, Phil Lord"
5,22 Jump Street,04-06-2014,2014,7,112,"Action, Comedy, Crime","Christopher Miller, Phil Lord"
6,28 Days Later...,01-11-2002,2002,7.6,113,"Drama, Horror, Sci-Fi, Thriller",Danny Boyle
7,28 Weeks Later,26-04-2007,2007,7,100,"Horror, Sci-Fi",Juan Carlos Fresnadillo
8,30 Days of Night,16-10-2007,2007,6.6,113,"Action, Horror, Thriller",David Slade
9,48 Hrs.,08-12-1982,1982,6.9,96,"Action, Comedy, Crime, Drama, Thriller",Walter Hill
10,Another 48 Hrs.,08-06-1990,1990,5.9,93,"Action, Comedy, Crime, Drama, Mystery, Thriller",Walter Hill
11,8MM,19-02-1999,1999,6.5,123,"Mystery, Thriller",Joel Schumacher
12,A Dog's Purpose,19-01-2017,2017,7.2,100,"Adventure, Comedy, Drama, Family, Fantasy",Lasse Hallström
13,A Dog's Journey,03-05-2019,2019,7.5,109,"Adventure, Comedy, Drama, Family, Fantasy",Gail Mancuso
14,A Good Day to Die Hard,06-02-2013,2013,5.3,98,"Action, Thriller",John Moore
15,A Haunted House,11-01-2013,2013,5,86,"Comedy, Fantasy",Michael Tiddes
16,A Haunted House 2,18-04-2014,2014,4.7,86,"Comedy, Fantasy",Michael Tiddes
17,A Nightmare on Elm Street,31-10-1984,1984,7.5,91,Horror,Wes Craven
18,Freddy's Revenge,31-10-1985,1985,5.5,87,Horror,Jack Sholder
19,Dream Warriors,27-02-1987,1987,6.6,96,"Fantasy, Horror",Chuck Russell
20,The Dream Master,19-08-1988,1988,5.7,93,Horror,Renny Harlin
21,The Dream Child,11-08-1989,1989,5.2,89,"Fantasy, Horror",Stephen Hopkins
22,A Nightmare on Elm Street,27-04-2010,2010,5.2,95,"Crime, Drama, Horror, Mystery",Samuel Bayer
23,AVP: Alien vs. Predator,12-08-2004,2004,5.6,101,"Action, Adventure, Horror, Sci-Fi, Thriller",Paul W.S. Anderson
24,AVPR: Aliens vs Predator - Requiem,25-12-2007,2007,4.7,94,"Action, Horror, Sci-Fi, Thriller","Greg Strause, Colin Strause"
25,Ace Ventura: Pet Detective,04-02-1994,1994,6.9,86,Comedy,Tom Shadyac
26,Ace Ventura: When Nature Calls,08-11-1995,1995,6.4,90,"Adventure, Comedy, Crime",Steve Oedekerk
27,Addams Family Values,19-11-1993,1993,6.7,94,"Comedy, Fantasy",Barry Sonnenfeld
28,Agent Cody Banks,14-03-2003,2003,5,102,"Action, Adventure, Comedy, Crime, Family, Romance, Thriller",Harald Zwart
29,Agent Cody Banks 2: Destination London,12-03-2004,2004,4.6,100,"Action, Adventure, Comedy, Family, Romance, Sci-Fi",Kevin Allen
30,Alice in Wonderland,25-02-2010,2010,6.4,108,"Adventure, Family, Fantasy",Tim Burton
31,Alice Through the Looking Glass,10-05-2016,2016,6.2,113,"Adventure, Family, Fantasy",James Bobin
32,Alien,25-05-1979,1979,8.4,117,"Horror, Sci-Fi",Ridley Scott
33,Aliens,14-07-1986,1986,8.3,137,"Action, Adventure, Sci-Fi, Thriller",James Cameron
34,Alien³,19-05-1992,1992,6.5,114,"Action, Horror, Sci-Fi",David Fincher
35,Alien: Resurrection,06-11-1997,1997,6.2,109,"Action, Horror, Sci-Fi",Jean-Pierre Jeunet
36,Alien: Covenant,04-05-2017,2017,6.4,122,"Horror, Sci-Fi, Thriller",Ridley Scott
37,Alone in the Dark,28-01-2005,2005,2.4,96,"Action, Horror, Sci-Fi",Uwe Boll
38,Alvin and the Chipmunks,13-12-2007,2007,5.2,92,"Animation, Comedy, Family, Fantasy, Music",Tim Hill
39,The Squeakquel,11-12-2009,2009,4.5,88,"Animation, Comedy, Family, Fantasy, Music",Betty Thomas
40,Chipwrecked,14-12-2011,2011,4.3,87,"Animation, Adventure, Comedy, Family, Music",Mike Mitchell
41,American Pie,07-07-1999,1999,7,95,Comedy,"Paul Weitz, Chris Weitz"
42,American Pie 2,06-08-2001,2001,6.4,108,Comedy,J.B. Rogers
43,American Psycho,21-01-2000,2000,7.6,101,"Comedy, Crime, Drama",Mary Harron
44,American Wedding,24-07-2003,2003,6.3,96,Comedy,Jesse Dylan
45,Anaconda,11-04-1997,1997,4.8,89,"Action, Adventure, Horror, Thriller",Luis Llosa
